Tournament,Country,No.,Pos.,Player,Date of Birth,Caps,Goals,Club
Russia 2018,Iran,6,MF,Saeid Ezatolahi,1996-10-01,25,1,Amkar Perm
Russia 2018,Iran,7,MF,Masoud Shojaei (captain),1984-06-09,74,8,AEK Athens
Russia 2018,Iran,8,DF,Morteza Pouraliganji,1992-04-19,27,2,Al Sadd
Russia 2018,Iran,9,MF,Omid Ebrahimi,1987-09-16,30,0,Esteghlal
Russia 2018,Iran,10,FW,Karim Ansarifard,1990-04-03,64,17,Olympiacos
Russia 2018,Iran,11,MF,Vahid Amiri,1988-04-02,36,1,Persepolis
Russia 2018,Iran,12,GK,Mohammad Rashid Mazaheri,1989-05-18,3,0,Zob Ahan
Russia 2018,Iran,13,DF,Mohammad Reza Khanzadeh,1991-05-11,11,1,Padideh
Russia 2018,Iran,14,FW,Saman Ghoddos,1993-09-06,8,1,Östersund
Russia 2018,Iran,15,DF,Pejman Montazeri,1983-09-06,46,1,Esteghlal
Russia 2018,Iran,16,FW,Reza Ghoochannejhad,1987-09-20,43,17,Heerenveen
Russia 2018,Iran,17,FW,Mehdi Taremi,1992-07-18,26,11,Al-Gharafa
Russia 2018,Iran,18,FW,Alireza Jahanbakhsh,1993-08-11,38,4,AZ
Russia 2018,Iran,19,DF,Majid Hosseini,1996-06-20,1,0,Esteghlal
Russia 2018,Iran,20,FW,Sardar Azmoun,1995-01-01,33,23,Rubin Kazan
Russia 2018,Iran,21,MF,Ashkan Dejagah,1986-07-05,46,9,Nottingham Forest
Russia 2018,Iran,22,GK,Amir Abedzadeh,1993-04-26,1,0,Marítimo
Russia 2018,Iran,23,DF,Ramin Rezaeian,1990-03-21,28,2,Oostende
Russia 2018,Morocco,1,GK,Yassine Bounou,1991-04-05,11,0,Girona
Russia 2018,Morocco,2,DF,Achraf Hakimi,1998-11-04,10,1,Real Madrid
Russia 2018,Morocco,3,DF,Hamza Mendyl,1997-10-21,13,0,Lille
Russia 2018,Morocco,4,DF,Manuel da Costa,1986-05-06,28,1,İstanbul Başakşehir
Russia 2018,Morocco,5,DF,Medhi Benatia (captain),1987-04-17,57,2,Juventus
Russia 2018,Morocco,6,DF,Romain Saïss,1990-03-26,24,1,Wolverhampton Wanderers
Russia 2018,Morocco,7,MF,Hakim Ziyech,1993-03-19,18,9,Ajax
Russia 2018,Morocco,8,MF,Karim El Ahmadi,1985-01-27,51,1,Feyenoord
Russia 2018,Morocco,9,FW,Ayoub El Kaabi,1993-06-25,10,11,RS Berkane
Russia 2018,Morocco,10,MF,Younès Belhanda,1990-02-25,47,5,Galatasaray
Russia 2018,Morocco,11,MF,Fayçal Fajr,1988-08-01,23,2,Getafe
Russia 2018,Morocco,12,GK,Munir Mohamedi,1989-05-10,27,0,Numancia
Russia 2018,Morocco,13,FW,Khalid Boutaïb,1987-04-24,18,7,Yeni Malatyaspor
Russia 2018,Morocco,14,MF,Mbark Boussoufa,1984-08-15,59,7,Al Jazira
Russia 2018,Morocco,15,MF,Youssef Aït Bennasser,1996-07-07,14,0,Caen
Russia 2018,Morocco,16,MF,Nordin Amrabat,1987-03-31,44,4,Leganés
Russia 2018,Morocco,17,DF,Nabil Dirar,1986-02-25,34,3,Fenerbahçe
Russia 2018,Morocco,18,MF,Amine Harit,1997-06-18,6,0,Schalke 04
Russia 2018,Morocco,19,FW,Youssef En-Nesyri,1997-06-01,16,2,Málaga
Russia 2018,Morocco,20,FW,Aziz Bouhaddouz,1987-03-30,15,3,FC St. Pauli
Russia 2018,Morocco,21,MF,Sofyan Amrabat,1996-08-21,6,0,Feyenoord
Russia 2018,Morocco,22,GK,Ahmed Reda Tagnaouti,1996-04-05,2,0,IR Tanger
Russia 2018,Morocco,23,MF,Mehdi Carcela,1989-07-01,20,1,Standard Liège
Russia 2018,Portugal,1,GK,Rui Patrício,1988-02-15,69,0,Sporting CP
Russia 2018,Portugal,2,DF,Bruno Alves,1981-11-27,96,11,Rangers
Russia 2018,Portugal,3,DF,Pepe,1983-02-26,95,5,Beşiktaş
Russia 2018,Portugal,4,MF,Manuel Fernandes,1986-02-05,14,3,Lokomotiv Moscow
Russia 2018,Portugal,5,DF,Raphaël Guerreiro,1993-12-22,24,2,Borussia Dortmund
Russia 2018,Portugal,6,DF,José Fonte,1983-12-22,31,0,Dalian Yifang
Russia 2018,Portugal,7,FW,Cristiano Ronaldo (captain),1985-02-05,150,81,Real Madrid
Russia 2018,Portugal,8,MF,João Moutinho,1986-09-08,110,7,Monaco
Russia 2018,Portugal,9,FW,André Silva,1995-11-06,23,12,Milan
Russia 2018,Portugal,10,MF,João Mário,1993-01-19,36,2,West Ham United
Russia 2018,Portugal,11,MF,Bernardo Silva,1994-08-10,25,2,Manchester City
Russia 2018,Portugal,12,GK,Anthony Lopes,1990-10-01,7,0,Lyon
Russia 2018,Portugal,13,DF,Rúben Dias,1997-05-14,1,0,Benfica
Russia 2018,Portugal,14,MF,William Carvalho,1992-04-07,43,2,Sporting CP
Russia 2018,Portugal,15,DF,Ricardo Pereira,1993-10-06,4,0,Porto
Russia 2018,Portugal,16,MF,Bruno Fernandes,1994-09-08,6,1,Sporting CP
Russia 2018,Portugal,17,FW,Gonçalo Guedes,1996-11-29,10,3,Valencia
Russia 2018,Portugal,18,FW,Gelson Martins,1995-05-11,18,0,Sporting CP
Russia 2018,Portugal,19,DF,Mário Rui,1991-05-27,4,0,Napoli
Russia 2018,Portugal,20,FW,Ricardo Quaresma,1983-09-26,77,9,Beşiktaş
Russia 2018,Portugal,21,DF,Cédric,1991-08-31,29,1,Southampton
Russia 2018,Portugal,22,GK,Beto,1982-05-01,14,0,Göztepe
Russia 2018,Portugal,23,MF,Adrien Silva,1989-03-15,23,1,Leicester City
Russia 2018,Spain,1,GK,David de Gea,1990-11-07,29,0,Manchester United
Russia 2018,Spain,2,DF,Dani Carvajal,1992-01-11,15,0,Real Madrid
Russia 2018,Spain,3,DF,Gerard Piqué,1987-02-02,98,5,Barcelona
Russia 2018,Spain,4,DF,Nacho,1990-01-18,17,0,Real Madrid
Russia 2018,Spain,5,MF,Sergio Busquets,1988-07-16,103,2,Barcelona
Russia 2018,Spain,6,MF,Andrés Iniesta,1984-05-11,127,14,Barcelona
Russia 2018,Spain,7,MF,Saúl,1994-11-21,10,0,Atlético Madrid
Russia 2018,Spain,8,MF,Koke,1992-01-08,40,0,Atlético Madrid
Russia 2018,Spain,9,FW,Rodrigo,1991-03-06,6,2,Valencia
Russia 2018,Spain,10,MF,Thiago,1991-04-11,29,2,Bayern Munich
Russia 2018,Spain,11,FW,Lucas Vázquez,1991-07-01,7,0,Real Madrid
Russia 2018,Spain,12,DF,Álvaro Odriozola,1995-12-14,4,1,Real Sociedad
Russia 2018,Spain,13,GK,Kepa Arrizabalaga,1994-10-03,1,0,Athletic Bilbao
Russia 2018,Spain,14,DF,César Azpilicueta,1989-08-28,22,0,Chelsea
Russia 2018,Spain,15,DF,Sergio Ramos (captain),1986-03-30,152,13,Real Madrid
Russia 2018,Spain,16,DF,Nacho Monreal,1986-02-26,22,1,Arsenal
Russia 2018,Spain,17,FW,Iago Aspas,1987-08-01,10,5,Celta Vigo
Russia 2018,Spain,18,DF,Jordi Alba,1989-03-21,62,8,Barcelona
Russia 2018,Spain,19,FW,Diego Costa,1988-10-07,20,7,Atlético Madrid
Russia 2018,Spain,20,MF,Marco Asensio,1996-01-21,12,0,Real Madrid
Russia 2018,Spain,21,FW,David Silva,1986-01-08,121,35,Manchester City
Russia 2018,Spain,22,MF,Isco,1992-04-21,28,10,Real Madrid
Russia 2018,Spain,23,GK,Pepe Reina,1982-08-31,36,0,Napoli
Russia 2018,Australia,1,GK,Mathew Ryan,1992-04-08,44,0,Brighton & Hove Albion
Russia 2018,Australia,2,DF,Miloš Degenek,1994-04-28,18,0,Yokohama F. Marinos
Russia 2018,Australia,3,DF,James Meredith,1988-04-05,2,0,Millwall
Russia 2018,Australia,4,FW,Tim Cahill,1979-12-06,106,50,Millwall
Russia 2018,Australia,5,DF,Mark Milligan,1985-08-04,71,6,Al Ahli
Russia 2018,Australia,6,DF,Matthew Jurman,1989-12-08,4,0,Suwon Samsung Bluewings
Russia 2018,Australia,7,FW,Mathew Leckie,1991-02-04,53,8,Hertha BSC
Russia 2018,Australia,8,MF,Massimo Luongo,1992-09-25,36,5,Queens Park Rangers
Russia 2018,Australia,9,FW,Tomi Juric,1991-07-22,35,8,Luzern
Russia 2018,Australia,10,FW,Robbie Kruse,1988-10-05,64,5,VfL Bochum
Russia 2018,Australia,11,FW,Andrew Nabbout,1992-12-17,4,1,Urawa Red Diamonds
Russia 2018,Australia,12,GK,Brad Jones,1982-03-19,6,0,Feyenoord
Russia 2018,Australia,13,MF,Aaron Mooy,1990-09-15,34,5,Huddersfield Town
Russia 2018,Australia,14,FW,Jamie Maclaren,1993-07-29,6,0,Hibernian
Russia 2018,Australia,15,MF,Mile Jedinak (captain),1984-08-03,76,18,Aston Villa
Russia 2018,Australia,16,DF,Aziz Behich,1990-12-16,23,2,Bursaspor
Russia 2018,Australia,17,FW,Daniel Arzani,1999-01-04,2,1,Melbourne City
Russia 2018,Australia,18,GK,Danny Vukovic,1985-03-27,1,0,Genk
Russia 2018,Australia,19,DF,Josh Risdon,1992-07-27,8,0,Western Sydney Wanderers
Russia 2018,Australia,20,DF,Trent Sainsbury,1992-01-05,35,3,Grasshopper
Russia 2018,Australia,21,FW,Dimitri Petratos,1992-11-10,2,0,Newcastle Jets
Russia 2018,Australia,22,MF,Jackson Irvine,1993-03-07,19,2,Hull City
Russia 2018,Australia,23,MF,Tom Rogic,1992-12-16,37,7,Celtic
Russia 2018,Denmark,1,GK,Kasper Schmeichel,1986-11-05,35,0,Leicester City
Russia 2018,Denmark,2,MF,Michael Krohn-Dehli,1983-06-06,59,6,Deportivo La Coruña
Russia 2018,Denmark,3,DF,Jannik Vestergaard,1992-08-03,16,1,Borussia Mönchengladbach
Russia 2018,Denmark,4,DF,Simon Kjær (captain),1989-03-26,78,3,Sevilla
Russia 2018,Denmark,5,DF,Jonas Knudsen,1992-09-16,3,0,Ipswich Town
Russia 2018,Denmark,6,DF,Andreas Christensen,1996-04-10,16,1,Chelsea
Russia 2018,Denmark,7,MF,William Kvist,1985-02-24,80,2,Copenhagen
Russia 2018,Denmark,8,MF,Thomas Delaney,1991-09-03,27,4,Werder Bremen
Russia 2018,Denmark,9,FW,Nicolai Jørgensen,1991-01-15,31,8,Feyenoord
Russia 2018,Denmark,10,MF,Christian Eriksen,1992-02-14,78,22,Tottenham Hotspur
Russia 2018,Denmark,11,FW,Martin Braithwaite,1991-06-05,20,1,Bordeaux
Russia 2018,Denmark,12,FW,Kasper Dolberg,1997-10-06,6,1,Ajax
Russia 2018,Denmark,13,DF,Mathias Jørgensen,1990-04-23,12,0,Huddersfield Town
Russia 2018,Denmark,14,DF,Henrik Dalsgaard,1989-07-27,11,0,Brentford
Russia 2018,Denmark,15,FW,Viktor Fischer,1994-06-09,19,3,Copenhagen
Russia 2018,Denmark,16,GK,Jonas Lössl,1989-02-01,1,0,Huddersfield Town
Russia 2018,Denmark,17,DF,Jens Stryger Larsen,1991-02-21,13,1,Udinese
Russia 2018,Denmark,18,MF,Lukas Lerager,1993-07-12,4,0,Bordeaux
Russia 2018,Denmark,19,MF,Lasse Schöne,1986-05-27,36,3,Ajax
Russia 2018,Denmark,20,FW,Yussuf Poulsen,1994-06-15,28,4,RB Leipzig
Russia 2018,Denmark,21,FW,Andreas Cornelius,1993-03-16,18,4,Atalanta
Russia 2018,Denmark,22,GK,Frederik Rønnow,1992-08-04,6,0,Brøndby
Russia 2018,Denmark,23,FW,Pione Sisto,1995-02-04,14,1,Celta Vigo
Russia 2018,France,1,GK,Hugo Lloris (captain),1986-12-26,98,0,Tottenham Hotspur
Russia 2018,France,2,DF,Benjamin Pavard,1996-03-28,6,0,VfB Stuttgart
Russia 2018,France,3,DF,Presnel Kimpembe,1995-08-13,2,0,Paris Saint-Germain
Russia 2018,France,4,DF,Raphaël Varane,1993-04-25,42,2,Real Madrid
Russia 2018,France,5,DF,Samuel Umtiti,1993-11-14,19,2,Barcelona
Russia 2018,France,6,MF,Paul Pogba,1993-03-15,54,9,Manchester United
Russia 2018,France,7,FW,Antoine Griezmann,1991-03-21,54,20,Atlético Madrid
Russia 2018,France,8,FW,Thomas Lemar,1995-11-12,12,3,Monaco
Russia 2018,France,9,FW,Olivier Giroud,1986-09-30,74,31,Chelsea
Russia 2018,France,10,FW,Kylian Mbappé,1998-12-20,15,4,Paris Saint-Germain
Russia 2018,France,11,FW,Ousmane Dembélé,1997-05-15,12,2,Barcelona
Russia 2018,France,12,MF,Corentin Tolisso,1994-08-03,9,0,Bayern Munich
Russia 2018,France,13,MF,N'Golo Kanté,1991-03-29,24,1,Chelsea
Russia 2018,France,14,MF,Blaise Matuidi,1987-04-09,67,9,Juventus
Russia 2018,France,15,MF,Steven Nzonzi,1988-12-15,4,0,Sevilla
Russia 2018,France,16,GK,Steve Mandanda,1985-03-28,27,0,Marseille
Russia 2018,France,17,DF,Adil Rami,1985-12-27,35,1,Marseille
Russia 2018,France,18,FW,Nabil Fekir,1993-07-18,12,2,Lyon
Russia 2018,France,19,DF,Djibril Sidibé,1992-07-29,17,1,Monaco
Russia 2018,France,20,FW,Florian Thauvin,1993-01-26,4,0,Marseille
Russia 2018,France,21,DF,Lucas Hernandez,1996-02-14,5,0,Atlético Madrid
Russia 2018,France,22,DF,Benjamin Mendy,1994-07-17,7,0,Manchester City
Russia 2018,France,23,GK,Alphonse Areola,1993-02-27,0,0,Paris Saint-Germain
Russia 2018,Peru,1,GK,Pedro Gallese,1990-02-23,38,0,Veracruz
Russia 2018,Peru,2,DF,Alberto Rodríguez,1984-03-31,74,0,Atlético Junior
Russia 2018,Peru,3,DF,Aldo Corzo,1989-05-20,26,0,Universitario
Russia 2018,Peru,4,DF,Anderson Santamaría,1992-01-10,4,0,Puebla
Russia 2018,Peru,5,DF,Miguel Araujo,1994-10-24,8,0,Alianza Lima
Russia 2018,Peru,6,DF,Miguel Trauco,1992-08-25,27,0,Flamengo
Russia 2018,Peru,7,MF,Paolo Hurtado,1990-07-27,33,3,Vitória de Guimarães
Russia 2018,Peru,8,MF,Christian Cueva,1991-11-23,46,8,São Paulo
Russia 2018,Peru,9,FW,Paolo Guerrero (captain),1984-01-01,88,34,Flamengo
Russia 2018,Peru,10,FW,Jefferson Farfán,1984-10-26,84,25,Lokomotiv Moscow
Russia 2018,Peru,11,FW,Raúl Ruidíaz,1990-07-25,30,4,Morelia
Russia 2018,Peru,12,GK,Carlos Cáceda,1991-09-27,6,0,Deportivo Municipal
Russia 2018,Peru,13,MF,Renato Tapia,1995-07-28,33,3,Feyenoord
Russia 2018,Peru,14,MF,Andy Polo,1994-09-29,17,1,Portland Timbers
Russia 2018,Peru,15,DF,Christian Ramos,1988-11-04,68,3,Veracruz
Russia 2018,Peru,16,MF,Wilder Cartagena,1994-09-23,3,0,Veracruz
Russia 2018,Peru,17,DF,Luis Advíncula,1990-03-02,67,0,Lobos BUAP
Russia 2018,Peru,18,FW,André Carrillo,1991-06-14,46,5,Watford
Russia 2018,Peru,19,MF,Yoshimar Yotún,1990-04-07,74,2,Orlando City
Russia 2018,Peru,20,FW,Edison Flores,1994-05-14,30,9,AaB
Russia 2018,Peru,21,GK,José Carvallo,1986-03-01,6,0,UTC
Russia 2018,Peru,22,DF,Nilson Loyola,1994-10-26,3,0,Melgar
Russia 2018,Peru,23,MF,Pedro Aquino,1995-04-13,14,0,Lobos BUAP
Russia 2018,Argentina,1,GK,Nahuel Guzmán,1986-02-10,6,0,UANL
Russia 2018,Argentina,2,DF,Gabriel Mercado,1987-03-18,20,3,Sevilla
Russia 2018,Argentina,3,DF,Nicolás Tagliafico,1992-08-31,4,0,Ajax
Russia 2018,Argentina,4,DF,Cristian Ansaldi,1986-09-20,5,0,Torino
Russia 2018,Argentina,5,MF,Lucas Biglia,1986-01-30,57,1,Milan
Russia 2018,Argentina,6,DF,Federico Fazio,1987-03-17,9,1,Roma
Russia 2018,Argentina,7,MF,Éver Banega,1988-06-29,62,6,Sevilla
Russia 2018,Argentina,8,DF,Marcos Acuña,1991-10-28,10,0,Sporting CP
Russia 2018,Argentina,9,FW,Gonzalo Higuaín,1987-12-10,71,31,Juventus
Russia 2018,Argentina,10,FW,Lionel Messi (captain),1987-06-24,124,64,Barcelona
Russia 2018,Argentina,11,MF,Ángel Di María,1988-02-14,94,19,Paris Saint-Germain
Russia 2018,Argentina,12,GK,Franco Armani,1986-10-16,0,0,River Plate
Russia 2018,Argentina,13,MF,Maximiliano Meza,1992-12-15,2,0,Independiente
Russia 2018,Argentina,14,DF,Javier Mascherano,1984-06-08,143,3,Hebei China Fortune
Russia 2018,Argentina,15,MF,Enzo Pérez,1986-02-22,23,1,River Plate
Russia 2018,Argentina,16,DF,Marcos Rojo,1990-03-20,56,2,Manchester United
Russia 2018,Argentina,17,DF,Nicolás Otamendi,1988-02-12,54,4,Manchester City
Russia 2018,Argentina,18,DF,Eduardo Salvio,1990-07-13,9,0,Benfica
Russia 2018,Argentina,19,FW,Sergio Agüero,1988-06-02,85,37,Manchester City
Russia 2018,Argentina,20,MF,Giovani Lo Celso,1996-04-09,5,0,Paris Saint-Germain
Russia 2018,Argentina,21,FW,Paulo Dybala,1993-11-15,12,0,Juventus
Russia 2018,Argentina,22,MF,Cristian Pavón,1996-01-21,5,0,Boca Juniors
Russia 2018,Argentina,23,GK,Willy Caballero,1981-09-28,3,0,Chelsea
Russia 2018,Croatia,1,GK,Dominik Livaković,1995-01-09,1,0,Dinamo Zagreb
Russia 2018,Croatia,2,DF,Šime Vrsaljko,1992-01-10,35,0,Atlético Madrid
Russia 2018,Croatia,3,DF,Ivan Strinić,1987-07-17,43,0,Sampdoria
Russia 2018,Croatia,4,FW,Ivan Perišić,1989-02-02,66,18,Inter Milan
Russia 2018,Croatia,5,DF,Vedran Ćorluka,1986-02-05,99,4,Lokomotiv Moscow
Russia 2018,Croatia,6,DF,Dejan Lovren,1989-07-05,39,2,Liverpool
Russia 2018,Croatia,7,MF,Ivan Rakitić,1988-03-10,92,14,Barcelona
Russia 2018,Croatia,8,MF,Mateo Kovačić,1994-05-06,41,1,Real Madrid
Russia 2018,Croatia,9,FW,Andrej Kramarić,1991-06-19,31,9,1899 Hoffenheim
Russia 2018,Croatia,10,MF,Luka Modrić (captain),1985-09-09,106,12,Real Madrid
Russia 2018,Croatia,11,MF,Marcelo Brozović,1992-11-16,35,6,Inter Milan
Russia 2018,Croatia,12,GK,Lovre Kalinić,1990-04-03,11,0,Gent
